"","i",""
"1","Actinernus michaelsarsi","0"
"2","Tealia crassicornis","0"
"3","Tealia felina","0"
"4","Tealia lofotensis","0"
"5","Parastephanauge paxi","0"
"6","Actinia cari","0"
"7","Actinia elongata","0"
"8","Actinia equina","576"
"9","Actinia filiformis","0"
"10","Actinia fragacea","238"
"11","Actinia prasina","0"
"12","Actinia striata","0"
"13","Anemonia viridis","40492"
"14","Anthopleura ballii","13"
"15","Anthopleura crassa","0"
"16","Anthopleura rubripunctata","0"
"17","Anthopleura thallia","5"
"18","Aulactinia spetsbergensis","0"
"19","Aulactinia stella","44"
"20","Aulactinia verrucosa","89"
"21","Bolocera maxima","0"
"22","Bolocera tuediae","4"
"23","Bunodactis biscayensis","0"
"24","Bunodactis verrucosa","76"
"25","Bunodosoma biscayensis","0"
"26","Bunodosoma rubripunctata","0"
"27","Condylactis aurantiaca","0"
"28","Cribrinopsis crassa","0"
"29","Cribrinopsis similis","16"
"30","Epiactis arctica","0"
"31","Epiactis fecunda","0"
"32","Epiactis incerta","0"
"33","Epiactis marsupialis","0"
"34","Onubactis rocioi","0"
"35","Paranemonia cinerea","41"
"36","Paranemonia vouliagmeniensis","0"
"37","Urticina crassicornis","54"
"38","Urticina eques","7"
"39","Urticina felina","24"
"40","Actinoscyphia aurelia","3"
"41","Actinoscyphia saginata","0"
"42","Epiparactis dubia","0"
"43","Actinostola abyssorum","0"
"44","Actinostola callosa","3"
"45","Anthosactis ingolfi","0"
"46","Anthosactis janmayeni","7"
"47","Glandulactis spetsbergensis","0"
"48","Paranthus rugosus","0"
"49","Parasicyonis ingolfi","0"
"50","Parasicyonis sarsii","0"
"51","Pycnanthus densus","0"
"52","Pycnanthus laevis","0"
"53","Sicyonis biotrans","0"
"54","Sicyonis gossei","0"
"55","Sicyonis hemisphaerica","0"
"56","Sicyonis ingolfi","0"
"57","Sicyonis tuberculata","0"
"58","Sicyonis variabilis","0"
"59","Stomphia coccinea","13"
"60","Stomphia polaris","0"
"61","Tealidium jungerseni","0"
"62","Aiptasia couchii","47"
"63","Aiptasia diaphana","111832"
"64","Aiptasia mutabilis","28"
"65","Aiptasiogeton pellucidus","0"
"66","Alicia costae","0"
"67","Alicia mirabilis","6"
"68","Andresia partenopea","0"
"69","Andvakia mirabilis","0"
"70","Andvakia parva","0"
"71","Aureliana heterocera","0"
"72","Bathyphellia margaritacea","0"
"73","Daontesia porcupina","0"
"74","Daontesia praelonga","0"
"75","Bunodeopsis strumosa","6"
"76","Segonzactis platypus","0"
"77","Diadumene cincta","8"
"78","Haliplanella luciae","0"
"79","Edwardsia allmanni","0"
"80","Edwardsia andresi","2"
"81","Edwardsia arctica","0"
"82","Edwardsia beautempsi","0"
"83","Edwardsia callianthus","0"
"84","Edwardsia carlgreni","0"
"85","Edwardsia claparedii","0"
"86","Edwardsia costata","0"
"87","Edwardsia danica","0"
"88","Edwardsia delapiae","0"
"89","Edwardsia finmarchica","0"
"90","Edwardsia fusca","0"
"91","Edwardsia harassei","0"
"92","Edwardsia islandica","0"
"93","Edwardsia ivelli","0"
"94","Edwardsia longicornis","1"
"95","Edwardsia maroccana","0"
"96","Edwardsia norvegica","0"
"97","Edwardsia timida","25"
"98","Edwardsia tuberculata","7"
"99","Edwardsia vegae","0"
"100","Edwardsia vitrea","0"
"101","Edwardsiella dixoni","0"
"102","Fagesia carnea","0"
"103","Fagesia janthina","0"
"104","Fagesia loveni","0"
"105","Isoedwardsia mediterranea","0"
"106","Isoedwardsia nidarosiensis","0"
"107","Nematostella nathorsti","0"
"108","Nematostella pellucida","0"
"109","Nematostella polaris","0"
"110","Nematostella vectensis","709000"
"111","Paraedwardsia abyssorum","0"
"112","Paraedwardsia arenaria","0"
"113","Paraedwardsia sarsii","0"
"114","Scolanthus callimorphus","19"
"115","Scolanthus ingolfi","0"
"116","Gonactinia prolifera","11"
"117","Protanthea simplex","7"
"118","Cactosoma abyssorum","0"
"119","Halcampa arctica","5"
"120","Halcampa chrysanthellum","1"
"121","Halcampa duodecimcirrata","4"
"122","Acthelmis intestinalis","0"
"123","Halcampella endromitata","0"
"124","Halcampoides abyssorum","0"
"125","Siphonactinopsis laevis","0"
"126","Carlgrenia desiderata","0"
"127","Haliactis arctica","0"
"128","Anemonactis mazeli","0"
"129","Mesacmaea mitchelli","0"
"130","Peachia boekii","0"
"131","Peachia cylindrica","5"
"132","Peachia hastata","0"
"133","Actinauge abyssorum","0"
"134","Actinauge richardi","19"
"135","Adamsia carciniopados","20"
"136","Adamsia palliata","21"
"137","Allantactis parasitica","8"
"138","Amphianthus bathybium","0"
"139","Amphianthus crassus","0"
"140","Amphianthus dohrnii","0"
"141","Amphianthus impeditus","0"
"142","Amphianthus ingolfi","0"
"143","Amphianthus inornata","0"
"144","Amphianthus islandicus","0"
"145","Amphianthus margaritaceus","0"
"146","Amphianthus michaelsarsi","0"
"147","Amphianthus mopseae","0"
"148","Amphianthus norvegicus","0"
"149","Amphianthus verruculatus","0"
"150","Calliactis parasitica","86"
"151","Cataphellia brodricii","0"
"152","Chondrophellia coronata","0"
"153","Hormathia alba","0"
"154","Hormathia coronata","0"
"155","Hormathia digitata","6"
"156","Hormathia marioni","0"
"157","Hormathia mediterranea","0"
"158","Hormathia nodosa","0"
"159","Monactis vestita","0"
"160","Paracalliactis azorica","0"
"161","Paracalliactis mediterranea","0"
"162","Paracalliactis michaelsarsi","0"
"163","Paracalliactis stephensoni","0"
"164","Paractinia striata","0"
"165","Paraphellia expansa","0"
"166","Phelliactis hertwigi","0"
"167","Phelliactis incerta","0"
"168","Phelliactis michaelsarsi","0"
"169","Phelliactis pulchra","0"
"170","Phelliactis robusta","0"
"171","Phelliactis spinosa","0"
"172","Stephanauge acanellae","0"
"173","Iosactis vagabunda","0"
"174","Euphellia cinclidifera","0"
"175","Telmatactis cricoides","4"
"176","Telmatactis forskalii","0"
"177","Telmatactis limicola","0"
"178","Telmatactis solidago","0"
"179","Kadosactis abyssicola","0"
"180","Kadosactis commensalis","0"
"181","Kadosactis rosea","0"
"182","Kadosactis spitsbergensis","0"
"183","Kadosactis sulcata","0"
"184","Limnactinia laevis","0"
"185","Liponema multicornis","0"
"186","Metridium senile","29977"
"187","Octineon lindahli","0"
"188","Octineon suecicum","1"
"189","Phymanthus pulcher","0"
"190","Actinothoe sphyrodeta","13"
"191","Cereus pedunculatus","33"
"192","Phellia elongata","0"
"193","Phellia gausapata","6"
"194","Phellia vestita","0"
"195","Sagartia elegans","24"
"196","Sagartia luciae","0"
"197","Sagartia ornata","12"
"198","Sagartia troglodytes","28"
"199","Sagartiogeton abyssorum","0"
"200","Sagartiogeton entellae","0"
"201","Sagartiogeton flexibilis","0"
"202","Sagartiogeton ingolfi","0"
"203","Sagartiogeton laceratus","8"
"204","Sagartiogeton robustus","0"
"205","Sagartiogeton tubicolus","0"
"206","Sagartiogeton undatus","11"
"207","Sagartiogeton verrilli","0"
"208","Sagartiogeton viduatus","2"
"209","Arachnactis albida","1"
"210","Arachnanthus nocturnus","94"
"211","Arachnanthus sarsi","2"
"212","Isarachnanthus cruzi","0"
"213","Botracnidifer norvegicus","0"
"214","Cerianthus lloydi","0"
"215","Cerianthus membranaceus","52"
"216","Cerianthus vogti","6"
"217","Pachycerianthus multiplicatus","59"
"218","Corallimorphus atlanticus","0"
"219","Corallimorphus ingens","0"
"220","Corynactis viridis","29"
"221","Pseudocorynactis caribbeorum","0"
"222","Nectactis singularis","0"
"223","Sideractis glacialis","0"
"224","Ptychodactis patula","0"
"225","Epizoanthus abyssorum","0"
"226","Epizoanthus americanus","0"
"227","Epizoanthus arenaceus","14"
"228","Epizoanthus beerenislandicus","0"
"229","Epizoanthus couchii","2"
"230","Epizoanthus danielsseni","0"
"231","Epizoanthus erdmanni","0"
"232","Epizoanthus frenzeli","0"
"233","Epizoanthus glacialis","0"
"234","Epizoanthus koreni","0"
"235","Epizoanthus lindahli","3"
"236","Epizoanthus macintoshi","0"
"237","Epizoanthus mediterraneus","0"
"238","Epizoanthus norvegicus","0"
"239","Epizoanthus paguricola","6"
"240","Epizoanthus paguriphilus","0"
"241","Epizoanthus papillosus","7"
"242","Epizoanthus paxii","2"
"243","Epizoanthus roseus","0"
"244","Epizoanthus steueri","0"
"245","Epizoanthus tergestinus","0"
"246","Epizoanthus univittatus","0"
"247","Epizoanthus vagus","2"
"248","Epizoanthus vatovai","0"
"249","Gerardia savaglia","67"
